CODIGO_CLIENTE,IDADE,FAIXA_ETARIA,RENDA_TOTAL,CATEGORIA_RENDA,SCORE,QT_IMOVEIS,QT_CARROS,ULTIMO_SALARIO,TRABALHANDO_ATUALMENTE,capacidade_credito
31,55,46 a 55,17500.0,Média-Alta,83,3,1,17500.0,0.0,6080.0
32,57,Maior que 55,17000.0,Média-Alta,89,1,2,13000.0,0.0,5990.0
33,62,Maior que 55,8500.0,Média,94,1,0,5300.0,0.0,3490.0
34,65,Maior que 55,18300.0,Média-Alta,98,3,1,18300.0,0.0,6470.0
35,19,Até 20,1800.0,Baixa,12,0,0,1800.0,0.0,660.0
36,23,21 a 30,4800.0,Média-Baixa,18,0,1,4800.0,0.0,1620.0
37,25,21 a 30,2200.0,Baixa,23,1,2,2200.0,0.0,890.0
38,27,21 a 30,3900.0,Média-Baixa,28,0,0,3900.0,0.0,1450.0
39,28,21 a 30,11500.0,Média-Alta,34,1,1,11500.0,0.0,3790.0
40,30,21 a 30,3100.0,Média-Baixa,39,0,2,3100.0,0.0,1320.0
41,32,31 a 45,9800.0,Média,45,1,0,6800.0,0.0,3390.0
42,35,31 a 45,24400.0,Alta,50,2,1,22000.0,0.0,7820.0
43,42,31 a 45,4500.0,Média-Baixa,56,0,2,4500.0,0.0,1910.0
44,45,31 a 45,9800.0,Média,61,0,0,9800.0,0.0,3550.0
45,48,46 a 55,15000.0,Média-Alta,67,2,1,15000.0,0.0,5170.0
46,51,46 a 55,6100.0,Média,72,0,2,6100.0,0.0,2550.0
47,53,46 a 55,9000.0,Média,78,1,0,9000.0,0.0,3480.0
48,55,46 a 55,17500.0,Média-Alta,83,3,1,17500.0,0.0,6080.0
49,57,Maior que 55,17000.0,Média-Alta,89,1,2,13000.0,0.0,5990.0
50,62,Maior que 55,8500.0,Média,94,1,0,5300.0,0.0,3490.0
51,65,Maior que 55,18300.0,Média-Alta,98,3,1,18300.0,0.0,6470.0
52,19,Até 20,1800.0,Baixa,12,0,0,1800.0,0.0,660.0
53,23,21 a 30,4800.0,Média-Baixa,18,0,1,4800.0,0.0,1620.0
54,25,21 a 30,2200.0,Baixa,23,1,2,2200.0,0.0,890.0
55,27,21 a 30,3900.0,Média-Baixa,28,0,0,3900.0,0.0,1450.0
56,28,21 a 30,11500.0,Média-Alta,34,1,1,11500.0,0.0,3790.0
57,30,21 a 30,3100.0,Média-Baixa,39,0,2,3100.0,0.0,1320.0
58,32,31 a 45,9800.0,Média,45,1,0,6800.0,0.0,3390.0
59,35,31 a 45,24400.0,Alta,50,2,1,22000.0,0.0,7820.0
60,42,31 a 45,4500.0,Média-Baixa,56,0,2,4500.0,0.0,1910.0
61,45,31 a 45,9800.0,Média,61,0,0,9800.0,0.0,3550.0
62,48,46 a 55,15000.0,Média-Alta,67,2,1,15000.0,0.0,5170.0
63,51,46 a 55,6100.0,Média,72,0,2,6100.0,0.0,2550.0
64,53,46 a 55,9000.0,Média,78,1,0,9000.0,0.0,3480.0
65,55,46 a 55,17500.0,Média-Alta,83,3,1,17500.0,0.0,6080.0
66,57,Maior que 55,17000.0,Média-Alta,89,1,2,13000.0,0.0,5990.0
67,62,Maior que 55,8500.0,Média,94,1,0,5300.0,0.0,3490.0
68,65,Maior que 55,18300.0,Média-Alta,98,3,1,18300.0,0.0,6470.0
69,19,Até 20,1800.0,Baixa,12,0,0,1800.0,0.0,660.0
70,23,21 a 30,4800.0,Média-Baixa,18,0,1,4800.0,0.0,1620.0
71,25,21 a 30,2200.0,Baixa,23,1,2,2200.0,0.0,890.0
72,27,21 a 30,3900.0,Média-Baixa,28,0,0,3900.0,0.0,1450.0
73,28,21 a 30,11500.0,Média-Alta,34,1,1,11500.0,0.0,3790.0
74,30,21 a 30,3100.0,Média-Baixa,39,0,2,3100.0,0.0,1320.0
75,32,31 a 45,9800.0,Média,45,1,0,6800.0,0.0,3390.0
76,35,31 a 45,24400.0,Alta,50,2,1,22000.0,0.0,7820.0
77,42,31 a 45,4500.0,Média-Baixa,56,0,2,4500.0,0.0,1910.0
78,45,31 a 45,9800.0,Média,61,0,0,9800.0,0.0,3550.0
79,48,46 a 55,15000.0,Média-Alta,67,2,1,15000.0,0.0,5170.0
80,51,46 a 55,6100.0,Média,72,0,2,6100.0,0.0,2550.0
81,53,46 a 55,9000.0,Média,78,1,0,9000.0,0.0,3480.0
82,55,46 a 55,17500.0,Média-Alta,83,3,1,17500.0,0.0,6080.0
83,57,Maior que 55,17000.0,Média-Alta,89,1,2,13000.0,0.0,5990.0
84,62,Maior que 55,8500.0,Média,94,1,0,5300.0,0.0,3490.0
85,65,Maior que 55,18300.0,Média-Alta,98,3,1,18300.0,0.0,6470.0
86,19,Até 20,1800.0,Baixa,12,0,0,1800.0,0.0,660.0
87,23,21 a 30,4800.0,Média-Baixa,18,0,1,4800.0,0.0,1620.0
88,25,21 a 30,2200.0,Baixa,23,1,2,2200.0,0.0,890.0
89,27,21 a 30,3900.0,Média-Baixa,28,0,0,3900.0,0.0,1450.0
90,28,21 a 30,11500.0,Média-Alta,34,1,1,11500.0,0.0,3790.0
91,30,21 a 30,3100.0,Média-Baixa,39,0,2,3100.0,0.0,1320.0
92,32,31 a 45,9800.0,Média,45,1,0,6800.0,0.0,3390.0
93,35,31 a 45,24400.0,Alta,50,2,1,22000.0,0.0,7820.0
94,42,31 a 45,4500.0,Média-Baixa,56,0,2,4500.0,0.0,1910.0
95,45,31 a 45,9800.0,Média,61,0,0,9800.0,0.0,3550.0
96,48,46 a 55,15000.0,Média-Alta,67,2,1,15000.0,0.0,5170.0
97,51,46 a 55,6100.0,Média,72,0,2,6100.0,0.0,2550.0
98,53,46 a 55,9000.0,Média,78,1,0,9000.0,0.0,3480.0
99,55,46 a 55,17500.0,Média-Alta,83,3,1,17500.0,0.0,6080.0
100,57,Maior que 55,17000.0,Média-Alta,89,1,2,13000.0,0.0,5990.0
101,62,Maior que 55,8500.0,Média,94,1,0,5300.0,0.0,3490.0
102,65,Maior que 55,18300.0,Média-Alta,98,3,1,18300.0,0.0,6470.0
103,19,Até 20,1800.0,Baixa,12,0,0,1800.0,0.0,660.0
104,23,21 a 30,4800.0,Média-Baixa,18,0,1,4800.0,0.0,1620.0
105,25,21 a 30,2200.0,Baixa,23,1,2,2200.0,0.0,890.0
106,27,21 a 30,3900.0,Média-Baixa,28,0,0,3900.0,0.0,1450.0
107,28,21 a 30,11500.0,Média-Alta,34,1,1,11500.0,0.0,3790.0
108,30,21 a 30,3100.0,Média-Baixa,39,0,2,3100.0,0.0,1320.0
109,32,31 a 45,9800.0,Média,45,1,0,6800.0,0.0,3390.0
110,35,31 a 45,24400.0,Alta,50,2,1,22000.0,0.0,7820.0
111,42,31 a 45,4500.0,Média-Baixa,56,0,2,4500.0,0.0,1910.0
112,45,31 a 45,9800.0,Média,61,0,0,9800.0,0.0,3550.0
113,48,46 a 55,15000.0,Média-Alta,67,2,1,15000.0,0.0,5170.0
114,51,46 a 55,6100.0,Média,72,0,2,6100.0,0.0,2550.0
115,53,46 a 55,9000.0,Média,78,1,0,9000.0,0.0,3480.0
116,55,46 a 55,17500.0,Média-Alta,83,3,1,17500.0,0.0,6080.0
117,57,Maior que 55,17000.0,Média-Alta,89,1,2,13000.0,0.0,5990.0
118,62,Maior que 55,8500.0,Média,94,1,0,5300.0,0.0,3490.0
119,65,Maior que 55,18300.0,Média-Alta,98,3,1,18300.0,0.0,6470.0
120,19,Até 20,1800.0,Baixa,12,0,0,1800.0,0.0,660.0
121,23,21 a 30,4800.0,Média-Baixa,18,0,1,4800.0,0.0,1620.0
122,25,21 a 30,2200.0,Baixa,23,1,2,2200.0,0.0,890.0
123,27,21 a 30,3900.0,Média-Baixa,28,0,0,3900.0,0.0,1450.0
124,28,21 a 30,11500.0,Média-Alta,34,1,1,11500.0,0.0,3790.0
125,30,21 a 30,3100.0,Média-Baixa,39,0,2,3100.0,0.0,1320.0
126,32,31 a 45,9800.0,Média,45,1,0,6800.0,0.0,3390.0
127,35,31 a 45,24400.0,Alta,50,2,1,22000.0,0.0,7820.0
128,42,31 a 45,4500.0,Média-Baixa,56,0,2,4500.0,0.0,1910.0
129,45,31 a 45,9800.0,Média,61,0,0,9800.0,0.0,3550.0
130,48,46 a 55,15000.0,Média-Alta,67,2,1,15000.0,0.0,5170.0
131,51,46 a 55,6100.0,Média,72,0,2,6100.0,0.0,2550.0
132,53,46 a 55,9000.0,Média,78,1,0,9000.0,0.0,3480.0
133,55,46 a 55,17500.0,Média-Alta,83,3,1,17500.0,0.0,6080.0
134,57,Maior que 55,17000.0,Média-Alta,89,1,2,13000.0,0.0,5990.0
135,62,Maior que 55,8500.0,Média,94,1,0,5300.0,0.0,3490.0
136,65,Maior que 55,18300.0,Média-Alta,98,3,1,18300.0,0.0,6470.0
137,19,Até 20,1800.0,Baixa,12,0,0,1800.0,0.0,660.0
138,23,21 a 30,4800.0,Média-Baixa,18,0,1,4800.0,0.0,1620.0
139,25,21 a 30,2200.0,Baixa,23,1,2,2200.0,0.0,890.0
140,27,21 a 30,3900.0,Média-Baixa,28,0,0,3900.0,0.0,1450.0
141,28,21 a 30,11500.0,Média-Alta,34,1,1,11500.0,0.0,3790.0
142,30,21 a 30,3100.0,Média-Baixa,39,0,2,3100.0,0.0,1320.0
143,32,31 a 45,9800.0,Média,45,1,0,6800.0,0.0,3390.0
144,35,31 a 45,24400.0,Alta,50,2,1,22000.0,0.0,7820.0
145,42,31 a 45,4500.0,Média-Baixa,56,0,2,4500.0,0.0,1910.0
146,45,31 a 45,9800.0,Média,61,0,0,9800.0,0.0,3550.0
147,48,46 a 55,15000.0,Média-Alta,67,2,1,15000.0,0.0,5170.0
148,51,46 a 55,6100.0,Média,72,0,2,6100.0,0.0,2550.0
149,53,46 a 55,9000.0,Média,78,1,0,9000.0,0.0,3480.0
150,55,46 a 55,17500.0,Média-Alta,83,3,1,17500.0,0.0,6080.0
151,57,Maior que 55,17000.0,Média-Alta,89,1,2,13000.0,0.0,5990.0
152,62,Maior que 55,8500.0,Média,94,1,0,5300.0,0.0,3490.0
153,65,Maior que 55,18300.0,Média-Alta,98,3,1,18300.0,0.0,6470.0
154,19,Até 20,1800.0,Baixa,12,0,0,1800.0,0.0,660.0
155,23,21 a 30,4800.0,Média-Baixa,18,0,1,4800.0,0.0,1620.0
156,25,21 a 30,2200.0,Baixa,23,1,2,2200.0,0.0,890.0
157,27,21 a 30,3900.0,Média-Baixa,28,0,0,3900.0,0.0,1450.0
158,28,21 a 30,11500.0,Média-Alta,34,1,1,11500.0,0.0,3790.0
159,30,21 a 30,3100.0,Média-Baixa,39,0,2,3100.0,0.0,1320.0
160,32,31 a 45,9800.0,Média,45,1,0,6800.0,0.0,3390.0
161,35,31 a 45,1800.0,Baixa,12,0,0,1800.0,0.0,660.0
162,42,31 a 45,4800.0,Média-Baixa,18,0,1,4800.0,0.0,1620.0
163,45,31 a 45,2200.0,Baixa,23,1,2,2200.0,0.0,890.0
164,48,46 a 55,3900.0,Média-Baixa,28,0,0,3900.0,0.0,1450.0
165,51,46 a 55,11500.0,Média-Alta,34,1,1,11500.0,0.0,3790.0
166,53,46 a 55,3100.0,Média-Baixa,39,0,2,3100.0,0.0,1320.0
167,55,46 a 55,9800.0,Média,45,1,0,6800.0,0.0,3390.0
168,57,Maior que 55,24400.0,Alta,50,2,1,22000.0,0.0,7820.0
169,62,Maior que 55,4500.0,Média-Baixa,56,0,2,4500.0,0.0,1910.0
170,65,Maior que 55,9800.0,Média,61,0,0,9800.0,0.0,3550.0
171,19,Até 20,15000.0,Média-Alta,67,2,1,15000.0,0.0,5170.0
172,23,21 a 30,6100.0,Média,72,0,2,6100.0,0.0,2550.0
173,25,21 a 30,9000.0,Média,78,1,0,9000.0,0.0,3480.0
174,25,21 a 30,17500.0,Média-Alta,83,3,1,17500.0,0.0,6080.0
175,28,21 a 30,17000.0,Média-Alta,89,1,2,13000.0,0.0,5990.0
176,30,21 a 30,8500.0,Média,94,1,0,5300.0,0.0,3490.0
177,32,31 a 45,18300.0,Média-Alta,98,3,1,18300.0,0.0,6470.0
178,35,31 a 45,1800.0,Baixa,12,0,0,1800.0,0.0,660.0
179,42,31 a 45,4800.0,Média-Baixa,18,0,1,4800.0,0.0,1620.0
180,45,31 a 45,2200.0,Baixa,23,1,2,2200.0,0.0,890.0
181,48,46 a 55,3900.0,Média-Baixa,28,0,0,3900.0,0.0,1450.0
182,51,46 a 55,11500.0,Média-Alta,34,1,1,11500.0,0.0,3790.0
183,53,46 a 55,3100.0,Média-Baixa,39,0,2,3100.0,0.0,1320.0
184,55,46 a 55,9800.0,Média,45,1,0,6800.0,0.0,3390.0
185,57,Maior que 55,1800.0,Baixa,12,0,0,1800.0,0.0,660.0
186,62,Maior que 55,4800.0,Média-Baixa,18,0,1,4800.0,0.0,1620.0
187,65,Maior que 55,2200.0,Baixa,23,1,2,2200.0,0.0,890.0
188,19,Até 20,3900.0,Média-Baixa,28,0,0,3900.0,0.0,1450.0
189,23,21 a 30,11500.0,Média-Alta,34,1,1,11500.0,0.0,3790.0
190,25,21 a 30,3100.0,Média-Baixa,39,0,2,3100.0,0.0,1320.0
191,27,21 a 30,9800.0,Média,45,1,0,6800.0,0.0,3390.0
192,28,21 a 30,24400.0,Alta,50,2,1,22000.0,0.0,7820.0
193,30,21 a 30,4500.0,Média-Baixa,56,0,2,4500.0,0.0,1910.0
194,32,31 a 45,9800.0,Média,61,0,0,9800.0,0.0,3550.0
195,35,31 a 45,15000.0,Média-Alta,67,2,1,15000.0,0.0,5170.0
196,42,31 a 45,6100.0,Média,72,0,2,6100.0,0.0,2550.0
197,45,31 a 45,9000.0,Média,78,1,0,9000.0,0.0,3480.0
198,48,46 a 55,17500.0,Média-Alta,83,3,1,17500.0,0.0,6080.0
199,51,46 a 55,17000.0,Média-Alta,89,1,2,13000.0,0.0,5990.0
200,53,46 a 55,8500.0,Média,94,1,0,5300.0,0.0,3490.0
201,55,46 a 55,18300.0,Média-Alta,98,3,1,18300.0,0.0,6470.0
202,57,Maior que 55,1800.0,Baixa,12,0,0,1800.0,0.0,660.0
203,62,Maior que 55,4800.0,Média-Baixa,18,0,1,4800.0,0.0,1620.0
204,65,Maior que 55,2200.0,Baixa,23,1,2,2200.0,0.0,890.0
205,19,Até 20,3900.0,Média-Baixa,28,0,0,3900.0,0.0,1450.0
206,23,21 a 30,11500.0,Média-Alta,34,1,1,11500.0,0.0,3790.0
207,25,21 a 30,3100.0,Média-Baixa,39,0,2,3100.0,0.0,1320.0
208,27,21 a 30,9800.0,Média,45,1,0,6800.0,0.0,3390.0
209,28,21 a 30,1800.0,Baixa,12,0,0,1800.0,0.0,660.0
210,30,21 a 30,4800.0,Média-Baixa,18,0,1,4800.0,0.0,1620.0
211,32,31 a 45,2200.0,Baixa,23,1,2,2200.0,0.0,890.0
212,35,31 a 45,3900.0,Média-Baixa,28,0,0,3900.0,0.0,1450.0
213,42,31 a 45,11500.0,Média-Alta,34,1,1,11500.0,0.0,3790.0
214,45,31 a 45,3100.0,Média-Baixa,39,0,2,3100.0,0.0,1320.0
215,48,46 a 55,9800.0,Média,45,1,0,6800.0,0.0,3390.0
216,51,46 a 55,24400.0,Alta,50,2,1,22000.0,0.0,7820.0
217,53,46 a 55,4500.0,Média-Baixa,56,0,2,4500.0,0.0,1910.0
218,55,46 a 55,9800.0,Média,61,0,0,9800.0,0.0,3550.0
219,57,Maior que 55,15000.0,Média-Alta,67,2,1,15000.0,0.0,5170.0
220,62,Maior que 55,6100.0,Média,72,0,2,6100.0,0.0,2550.0
221,65,Maior que 55,9000.0,Média,78,1,0,9000.0,0.0,3480.0
222,19,Até 20,17500.0,Média-Alta,83,3,1,17500.0,0.0,6080.0
223,23,21 a 30,17000.0,Média-Alta,89,1,2,13000.0,0.0,5990.0
224,25,21 a 30,8500.0,Média,94,1,0,5300.0,0.0,3490.0
225,27,21 a 30,18300.0,Média-Alta,98,3,1,18300.0,0.0,6470.0
226,28,21 a 30,1800.0,Baixa,12,0,0,1800.0,0.0,660.0
227,30,21 a 30,4800.0,Média-Baixa,18,0,1,4800.0,0.0,1620.0
228,32,31 a 45,2200.0,Baixa,23,1,2,2200.0,0.0,890.0
229,35,31 a 45,3900.0,Média-Baixa,28,0,0,3900.0,0.0,1450.0
230,42,31 a 45,11500.0,Média-Alta,34,1,1,11500.0,0.0,3790.0
231,45,31 a 45,3100.0,Média-Baixa,39,0,2,3100.0,0.0,1320.0
232,48,46 a 55,9800.0,Média,45,1,0,6800.0,0.0,3390.0
233,51,46 a 55,1800.0,Baixa,12,0,0,1800.0,0.0,660.0
234,53,46 a 55,4800.0,Média-Baixa,18,0,1,4800.0,0.0,1620.0
235,55,46 a 55,2200.0,Baixa,23,1,2,2200.0,0.0,890.0
236,57,Maior que 55,3900.0,Média-Baixa,28,0,0,3900.0,0.0,1450.0
237,62,Maior que 55,11500.0,Média-Alta,34,1,1,11500.0,0.0,3790.0
238,65,Maior que 55,3100.0,Média-Baixa,39,0,2,3100.0,0.0,1320.0
239,19,Até 20,9800.0,Média,45,1,0,6800.0,0.0,3390.0
240,23,21 a 30,24400.0,Alta,50,2,1,22000.0,0.0,7820.0
241,25,21 a 30,4500.0,Média-Baixa,56,0,2,4500.0,0.0,1910.0
242,27,21 a 30,9800.0,Média,61,0,0,9800.0,0.0,3550.0
243,28,21 a 30,15000.0,Média-Alta,67,2,1,15000.0,0.0,5170.0
244,30,21 a 30,6100.0,Média,72,0,2,6100.0,0.0,2550.0
245,32,31 a 45,9000.0,Média,78,1,0,9000.0,0.0,3480.0
246,35,31 a 45,17500.0,Média-Alta,83,3,1,17500.0,0.0,6080.0
247,42,31 a 45,17000.0,Média-Alta,89,1,2,13000.0,0.0,5990.0
248,45,31 a 45,8500.0,Média,94,1,0,5300.0,0.0,3490.0
249,48,46 a 55,18300.0,Média-Alta,98,3,1,18300.0,0.0,6470.0
250,51,46 a 55,1800.0,Baixa,12,0,0,1800.0,0.0,660.0
251,53,46 a 55,4800.0,Média-Baixa,18,0,1,4800.0,0.0,1620.0
252,55,46 a 55,2200.0,Baixa,23,1,2,2200.0,0.0,890.0
253,57,Maior que 55,3900.0,Média-Baixa,28,0,0,3900.0,0.0,1450.0
254,62,Maior que 55,11500.0,Média-Alta,34,1,1,11500.0,0.0,3790.0
255,65,Maior que 55,3100.0,Média-Baixa,39,0,2,3100.0,0.0,1320.0
256,65,Maior que 55,9800.0,Média,45,1,0,6800.0,0.0,3390.0
257,23,21 a 30,15000.0,Média-Alta,67,2,1,15000.0,0.0,5170.0
258,28,21 a 30,6100.0,Média,72,0,2,6100.0,0.0,2550.0
259,30,21 a 30,9000.0,Média,78,1,0,9000.0,0.0,3480.0
260,32,31 a 45,17500.0,Média-Alta,83,3,1,17500.0,0.0,6080.0
261,35,31 a 45,17000.0,Média-Alta,89,1,2,13000.0,0.0,5990.0
262,42,31 a 45,8500.0,Média,94,1,0,5300.0,0.0,3490.0
263,45,31 a 45,18300.0,Média-Alta,98,3,1,18300.0,0.0,6470.0
264,48,46 a 55,1800.0,Baixa,12,0,0,1800.0,0.0,660.0
265,51,46 a 55,4800.0,Média-Baixa,18,0,1,4800.0,0.0,1620.0
266,53,46 a 55,2200.0,Baixa,23,1,2,2200.0,0.0,890.0
267,55,46 a 55,3900.0,Média-Baixa,28,0,0,3900.0,0.0,1450.0
268,57,Maior que 55,11500.0,Média-Alta,34,1,1,11500.0,0.0,3790.0
269,62,Maior que 55,3100.0,Média-Baixa,39,0,2,3100.0,0.0,1320.0
270,65,Maior que 55,9800.0,Média,45,1,0,6800.0,0.0,3390.0
271,19,Até 20,1800.0,Baixa,12,0,0,1800.0,0.0,660.0
272,23,21 a 30,4800.0,Média-Baixa,18,0,1,4800.0,0.0,1620.0
273,25,21 a 30,2200.0,Baixa,23,1,2,2200.0,0.0,890.0
274,27,21 a 30,3900.0,Média-Baixa,28,0,0,3900.0,0.0,1450.0
275,28,21 a 30,11500.0,Média-Alta,34,1,1,11500.0,0.0,3790.0
276,30,21 a 30,3100.0,Média-Baixa,39,0,2,3100.0,0.0,1320.0
277,32,31 a 45,9800.0,Média,45,1,0,6800.0,0.0,3390.0
278,35,31 a 45,24400.0,Alta,50,2,1,22000.0,0.0,7820.0
279,42,31 a 45,4500.0,Média-Baixa,56,0,2,4500.0,0.0,1910.0
280,45,31 a 45,9800.0,Média,61,0,0,9800.0,0.0,3550.0
281,48,46 a 55,15000.0,Média-Alta,67,2,1,15000.0,0.0,5170.0
282,51,46 a 55,6100.0,Média,72,0,2,6100.0,0.0,2550.0
283,53,46 a 55,9000.0,Média,78,1,0,9000.0,0.0,3480.0
284,55,46 a 55,17500.0,Média-Alta,83,3,1,17500.0,0.0,6080.0
285,57,Maior que 55,17000.0,Média-Alta,89,1,2,13000.0,0.0,5990.0
286,62,Maior que 55,8500.0,Média,94,1,0,5300.0,0.0,3490.0
287,65,Maior que 55,18300.0,Média-Alta,98,3,1,18300.0,0.0,6470.0
288,19,Até 20,1800.0,Baixa,12,0,0,1800.0,0.0,660.0
289,23,21 a 30,15000.0,Média-Alta,67,2,1,15000.0,0.0,5170.0
290,25,21 a 30,6100.0,Média,72,0,2,6100.0,0.0,2550.0
291,27,21 a 30,9000.0,Média,78,1,0,9000.0,0.0,3480.0
292,28,21 a 30,17500.0,Média-Alta,83,3,1,17500.0,0.0,6080.0
293,30,21 a 30,17000.0,Média-Alta,89,1,2,13000.0,0.0,5990.0
294,32,31 a 45,8500.0,Média,94,1,0,5300.0,0.0,3490.0
295,35,31 a 45,18300.0,Média-Alta,98,3,1,18300.0,0.0,6470.0
296,42,31 a 45,1800.0,Baixa,12,0,0,1800.0,0.0,660.0
297,45,31 a 45,4800.0,Média-Baixa,18,0,1,4800.0,0.0,1620.0
298,48,46 a 55,2200.0,Baixa,23,1,2,2200.0,0.0,890.0
299,51,46 a 55,3900.0,Média-Baixa,28,0,0,3900.0,0.0,1450.0
300,53,46 a 55,11500.0,Média-Alta,34,1,1,11500.0,0.0,3790.0
301,55,46 a 55,3100.0,Média-Baixa,39,0,2,3100.0,0.0,1320.0
302,57,Maior que 55,9800.0,Média,45,1,0,6800.0,0.0,3390.0
303,62,Maior que 55,1800.0,Baixa,12,0,0,1800.0,0.0,660.0
304,65,Maior que 55,4800.0,Média-Baixa,18,0,1,4800.0,0.0,1620.0
305,19,Até 20,2200.0,Baixa,23,1,2,2200.0,0.0,890.0
306,23,21 a 30,3900.0,Média-Baixa,28,0,0,3900.0,0.0,1450.0
307,25,21 a 30,11500.0,Média-Alta,34,1,1,11500.0,0.0,3790.0
308,27,21 a 30,3100.0,Média-Baixa,39,0,2,3100.0,0.0,1320.0
309,28,21 a 30,9800.0,Média,45,1,0,6800.0,0.0,3390.0
310,30,21 a 30,24400.0,Alta,50,2,1,22000.0,0.0,7820.0
311,32,31 a 45,4500.0,Média-Baixa,56,0,2,4500.0,0.0,1910.0
312,35,31 a 45,9800.0,Média,61,0,0,9800.0,0.0,3550.0
313,42,31 a 45,15000.0,Média-Alta,67,2,1,15000.0,0.0,5170.0
314,45,31 a 45,6100.0,Média,72,0,2,6100.0,0.0,2550.0
315,48,46 a 55,9000.0,Média,78,1,0,9000.0,0.0,3480.0
316,51,46 a 55,17500.0,Média-Alta,83,3,1,17500.0,0.0,6080.0
317,53,46 a 55,17000.0,Média-Alta,89,1,2,13000.0,0.0,5990.0
318,55,46 a 55,8500.0,Média,94,1,0,5300.0,0.0,3490.0
319,57,Maior que 55,18300.0,Média-Alta,98,3,1,18300.0,0.0,6470.0
320,62,Maior que 55,1800.0,Baixa,12,0,0,1800.0,0.0,660.0
321,65,Maior que 55,15000.0,Média-Alta,67,2,1,15000.0,0.0,5170.0
322,19,Até 20,6100.0,Média,72,0,2,6100.0,0.0,2550.0
323,23,21 a 30,9000.0,Média,78,1,0,9000.0,0.0,3480.0
324,25,21 a 30,17500.0,Média-Alta,83,3,1,17500.0,0.0,6080.0
325,27,21 a 30,17000.0,Média-Alta,89,1,2,13000.0,0.0,5990.0
326,28,21 a 30,8500.0,Média,94,1,0,5300.0,0.0,3490.0
327,30,21 a 30,18300.0,Média-Alta,98,3,1,18300.0,0.0,6470.0
328,32,31 a 45,1800.0,Baixa,12,0,0,1800.0,0.0,660.0
329,35,31 a 45,4800.0,Média-Baixa,18,0,1,4800.0,0.0,1620.0
330,42,31 a 45,2200.0,Baixa,23,1,2,2200.0,0.0,890.0
331,45,31 a 45,3900.0,Média-Baixa,28,0,0,3900.0,0.0,1450.0
332,48,46 a 55,11500.0,Média-Alta,34,1,1,11500.0,0.0,3790.0
333,51,46 a 55,3100.0,Média-Baixa,39,0,2,3100.0,0.0,1320.0
334,23,21 a 30,9800.0,Média,45,1,0,6800.0,0.0,3390.0
335,28,21 a 30,1800.0,Baixa,12,0,0,1800.0,0.0,660.0
336,30,21 a 30,4800.0,Média-Baixa,18,0,1,4800.0,0.0,1620.0
337,32,31 a 45,2200.0,Baixa,23,1,2,2200.0,0.0,890.0
338,35,31 a 45,3900.0,Média-Baixa,28,0,0,3900.0,0.0,1450.0
