CODIGO_CLIENTE,UF,IDADE,ESCOLARIDADE,ESTADO_CIVIL,QT_FILHOS,CASA_PROPRIA,QT_IMOVEIS,VL_IMOVEIS,OUTRA_RENDA,OUTRA_RENDA_VALOR,TEMPO_ULTIMO_EMPREGO_MESES,TRABALHANDO_ATUALMENTE,ULTIMO_SALARIO,QT_CARROS,VALOR_TABELA_CARROS,SCORE,DATA_UPLOAD,ARQUIVO_FONTE,RENDA_TOTAL,DATA_TRATAMENTO,FAIXA_ETARIA,TEM_FILHOS,CATEGORIA_RENDA
11,SP,48,Superior Completo,Divorciado,2,0.0,2,600000.0,False,0.0,15,0.0,15000.0,1,70000.0,67,2025-11-04 09:47:35.324676,DADOS_CREDITO.XLSX,15000.0,2025-11-04 09:47:48.548205,46 a 55,1,Média-Alta
12,MG,51,Segundo Grau Completo,Divorciado,1,0.0,0,0.0,False,0.0,80,0.0,6100.0,2,48000.0,72,2025-11-04 09:47:35.324676,DADOS_CREDITO.XLSX,6100.0,2025-11-04 09:47:48.548205,46 a 55,1,Média
13,SC,53,Superior Cursando,Casado,2,0.0,1,280000.0,False,0.0,12,0.0,9000.0,0,0.0,78,2025-11-04 09:47:35.324676,DADOS_CREDITO.XLSX,9000.0,2025-11-04 09:47:48.548205,46 a 55,1,Média
14,PR,55,Superior Completo,Casado,2,0.0,3,700000.0,False,0.0,75,0.0,17500.0,1,50000.0,83,2025-11-04 09:47:35.324676,DADOS_CREDITO.XLSX,17500.0,2025-11-04 09:47:48.548205,46 a 55,1,Média-Alta
15,RJ,57,Segundo Grau Completo,Casado,3,0.0,1,340000.0,True,4000.0,90,0.0,13000.0,2,180000.0,89,2025-11-04 09:47:35.324676,DADOS_CREDITO.XLSX,17000.0,2025-11-04 09:47:48.548205,Maior que 55,1,Média-Alta
16,SP,62,Superior Cursando,Casado,3,0.0,1,450000.0,True,3200.0,93,0.0,5300.0,0,0.0,94,2025-11-04 09:47:35.324676,DADOS_CREDITO.XLSX,8500.0,2025-11-04 09:47:48.548205,Maior que 55,1,Média
17,RJ,65,Superior Completo,Viuvo,1,0.0,3,900000.0,False,0.0,150,0.0,18300.0,1,80000.0,98,2025-11-04 09:47:35.324676,DADOS_CREDITO.XLSX,18300.0,2025-11-04 09:47:48.548205,Maior que 55,1,Média-Alta
18,SP,19,Superior Cursando,Solteiro,0,0.0,0,0.0,False,0.0,8,0.0,1800.0,0,0.0,12,2025-11-04 09:47:35.324676,DADOS_CREDITO.XLSX,1800.0,2025-11-04 09:47:48.548205,Até 20,0,Baixa
19,MG,23,Superior Completo,Solteiro,1,0.0,0,0.0,False,0.0,9,0.0,4800.0,1,50000.0,18,2025-11-04 09:47:35.324676,DADOS_CREDITO.XLSX,4800.0,2025-11-04 09:47:48.548205,21 a 30,1,Média-Baixa
20,SC,25,Segundo Grau Completo,Casado,0,0.0,1,220000.0,False,0.0,18,0.0,2200.0,2,30000.0,23,2025-11-04 09:47:35.324676,DADOS_CREDITO.XLSX,2200.0,2025-11-04 09:47:48.548205,21 a 30,0,Baixa
21,PR,27,Superior Cursando,Casado,1,0.0,0,0.0,False,0.0,22,0.0,3900.0,0,0.0,28,2025-11-04 09:47:35.324676,DADOS_CREDITO.XLSX,3900.0,2025-11-04 09:47:48.548205,21 a 30,1,Média-Baixa
22,RJ,28,Superior Completo,Divorciado,2,0.0,1,370000.0,False,0.0,30,0.0,11500.0,1,35000.0,34,2025-11-04 09:47:35.324676,DADOS_CREDITO.XLSX,11500.0,2025-11-04 09:47:48.548205,21 a 30,1,Média-Alta
23,SP,30,Segundo Grau Completo,Divorciado,0,0.0,0,0.0,False,0.0,14,0.0,3100.0,2,40000.0,39,2025-11-04 09:47:35.324676,DADOS_CREDITO.XLSX,3100.0,2025-11-04 09:47:48.548205,21 a 30,0,Média-Baixa
24,MG,32,Superior Cursando,Solteiro,1,0.0,1,185000.0,True,3000.0,19,0.0,6800.0,0,0.0,45,2025-11-04 09:47:35.324676,DADOS_CREDITO.XLSX,9800.0,2025-11-04 09:47:48.548205,31 a 45,1,Média
25,SC,35,Superior Completo,Solteiro,1,0.0,2,450000.0,True,2400.0,25,0.0,22000.0,1,150000.0,50,2025-11-04 09:47:35.324676,DADOS_CREDITO.XLSX,24400.0,2025-11-04 09:47:48.548205,31 a 45,1,Alta
26,PR,42,Segundo Grau Completo,Casado,0,0.0,0,0.0,False,0.0,48,0.0,4500.0,2,28000.0,56,2025-11-04 09:47:35.324676,DADOS_CREDITO.XLSX,4500.0,2025-11-04 09:47:48.548205,31 a 45,0,Média-Baixa
27,RJ,45,Superior Cursando,Casado,0,0.0,0,0.0,False,0.0,120,0.0,9800.0,0,0.0,61,2025-11-04 09:47:35.324676,DADOS_CREDITO.XLSX,9800.0,2025-11-04 09:47:48.548205,31 a 45,0,Média
28,SP,48,Superior Completo,Divorciado,1,0.0,2,600000.0,False,0.0,15,0.0,15000.0,1,70000.0,67,2025-11-04 09:47:35.324676,DADOS_CREDITO.XLSX,15000.0,2025-11-04 09:47:48.548205,46 a 55,1,Média-Alta
29,MG,51,Segundo Grau Completo,Divorciado,1,0.0,0,0.0,False,0.0,80,0.0,6100.0,2,48000.0,72,2025-11-04 09:47:35.324676,DADOS_CREDITO.XLSX,6100.0,2025-11-04 09:47:48.548205,46 a 55,1,Média
30,SC,53,Superior Cursando,Casado,2,0.0,1,280000.0,False,0.0,12,0.0,9000.0,0,0.0,78,2025-11-04 09:47:35.324676,DADOS_CREDITO.XLSX,9000.0,2025-11-04 09:47:48.548205,46 a 55,1,Média
31,PR,55,Superior Completo,Casado,2,0.0,3,700000.0,False,0.0,75,0.0,17500.0,1,50000.0,83,2025-11-04 09:47:35.324676,DADOS_CREDITO.XLSX,17500.0,2025-11-04 09:47:48.548205,46 a 55,1,Média-Alta
32,RJ,57,Segundo Grau Completo,Casado,3,0.0,1,340000.0,True,4000.0,90,0.0,13000.0,2,180000.0,89,2025-11-04 09:47:35.324676,DADOS_CREDITO.XLSX,17000.0,2025-11-04 09:47:48.548205,Maior que 55,1,Média-Alta
33,SP,62,Superior Cursando,Casado,3,0.0,1,450000.0,True,3200.0,93,0.0,5300.0,0,0.0,94,2025-11-04 09:47:35.324676,DADOS_CREDITO.XLSX,8500.0,2025-11-04 09:47:48.548205,Maior que 55,1,Média
34,RJ,65,Superior Completo,Viuvo,1,0.0,3,900000.0,False,0.0,150,0.0,18300.0,1,80000.0,98,2025-11-04 09:47:35.324676,DADOS_CREDITO.XLSX,18300.0,2025-11-04 09:47:48.548205,Maior que 55,1,Média-Alta
35,SP,19,Superior Cursando,Solteiro,0,0.0,0,0.0,False,0.0,8,0.0,1800.0,0,0.0,12,2025-11-04 09:47:35.324676,DADOS_CREDITO.XLSX,1800.0,2025-11-04 09:47:48.548205,Até 20,0,Baixa
36,MG,23,Superior Completo,Solteiro,1,0.0,0,0.0,False,0.0,9,0.0,4800.0,1,50000.0,18,2025-11-04 09:47:35.324676,DADOS_CREDITO.XLSX,4800.0,2025-11-04 09:47:48.548205,21 a 30,1,Média-Baixa
37,SC,25,Segundo Grau Completo,Casado,0,0.0,1,220000.0,False,0.0,18,0.0,2200.0,2,30000.0,23,2025-11-04 09:47:35.324676,DADOS_CREDITO.XLSX,2200.0,2025-11-04 09:47:48.548205,21 a 30,0,Baixa
38,PR,27,Superior Cursando,Casado,1,0.0,0,0.0,False,0.0,22,0.0,3900.0,0,0.0,28,2025-11-04 09:47:35.324676,DADOS_CREDITO.XLSX,3900.0,2025-11-04 09:47:48.548205,21 a 30,1,Média-Baixa
39,RJ,28,Superior Completo,Divorciado,2,0.0,1,370000.0,False,0.0,30,0.0,11500.0,1,35000.0,34,2025-11-04 09:47:35.324676,DADOS_CREDITO.XLSX,11500.0,2025-11-04 09:47:48.548205,21 a 30,1,Média-Alta
40,SP,30,Segundo Grau Completo,Divorciado,0,0.0,0,0.0,False,0.0,14,0.0,3100.0,2,40000.0,39,2025-11-04 09:47:35.324676,DADOS_CREDITO.XLSX,3100.0,2025-11-04 09:47:48.548205,21 a 30,0,Média-Baixa
41,MG,32,Superior Cursando,Solteiro,1,0.0,1,185000.0,True,3000.0,19,0.0,6800.0,0,0.0,45,2025-11-04 09:47:35.324676,DADOS_CREDITO.XLSX,9800.0,2025-11-04 09:47:48.548205,31 a 45,1,Média
42,SC,35,Superior Completo,Solteiro,1,0.0,2,450000.0,True,2400.0,25,0.0,22000.0,1,150000.0,50,2025-11-04 09:47:35.324676,DADOS_CREDITO.XLSX,24400.0,2025-11-04 09:47:48.548205,31 a 45,1,Alta
43,PR,42,Segundo Grau Completo,Casado,0,0.0,0,0.0,False,0.0,48,0.0,4500.0,2,28000.0,56,2025-11-04 09:47:35.324676,DADOS_CREDITO.XLSX,4500.0,2025-11-04 09:47:48.548205,31 a 45,0,Média-Baixa
44,RJ,45,Superior Cursando,Casado,0,0.0,0,0.0,False,0.0,120,0.0,9800.0,0,0.0,61,2025-11-04 09:47:35.324676,DADOS_CREDITO.XLSX,9800.0,2025-11-04 09:47:48.548205,31 a 45,0,Média
45,SP,48,Superior Completo,Divorciado,2,0.0,2,600000.0,False,0.0,15,0.0,15000.0,1,70000.0,67,2025-11-04 09:47:35.324676,DADOS_CREDITO.XLSX,15000.0,2025-11-04 09:47:48.548205,46 a 55,1,Média-Alta
46,MG,51,Segundo Grau Completo,Divorciado,1,0.0,0,0.0,False,0.0,80,0.0,6100.0,2,48000.0,72,2025-11-04 09:47:35.324676,DADOS_CREDITO.XLSX,6100.0,2025-11-04 09:47:48.548205,46 a 55,1,Média
47,SC,53,Superior Cursando,Casado,2,0.0,1,280000.0,False,0.0,12,0.0,9000.0,0,0.0,78,2025-11-04 09:47:35.324676,DADOS_CREDITO.XLSX,9000.0,2025-11-04 09:47:48.548205,46 a 55,1,Média
48,PR,55,Superior Completo,Casado,2,0.0,3,700000.0,False,0.0,75,0.0,17500.0,1,50000.0,83,2025-11-04 09:47:35.324676,DADOS_CREDITO.XLSX,17500.0,2025-11-04 09:47:48.548205,46 a 55,1,Média-Alta
49,RJ,57,Segundo Grau Completo,Casado,3,0.0,1,340000.0,True,4000.0,90,0.0,13000.0,2,180000.0,89,2025-11-04 09:47:35.324676,DADOS_CREDITO.XLSX,17000.0,2025-11-04 09:47:48.548205,Maior que 55,1,Média-Alta
50,SP,62,Superior Cursando,Casado,3,0.0,1,450000.0,True,3200.0,93,0.0,5300.0,0,0.0,94,2025-11-04 09:47:35.324676,DADOS_CREDITO.XLSX,8500.0,2025-11-04 09:47:48.548205,Maior que 55,1,Média
51,RJ,65,Superior Completo,Viuvo,1,0.0,3,900000.0,False,0.0,150,0.0,18300.0,1,80000.0,98,2025-11-04 09:47:35.324676,DADOS_CREDITO.XLSX,18300.0,2025-11-04 09:47:48.548205,Maior que 55,1,Média-Alta
52,SP,19,Superior Cursando,Solteiro,0,0.0,0,0.0,False,0.0,8,0.0,1800.0,0,0.0,12,2025-11-04 09:47:35.324676,DADOS_CREDITO.XLSX,1800.0,2025-11-04 09:47:48.548205,Até 20,0,Baixa
53,MG,23,Superior Completo,Solteiro,1,0.0,0,0.0,False,0.0,9,0.0,4800.0,1,50000.0,18,2025-11-04 09:47:35.324676,DADOS_CREDITO.XLSX,4800.0,2025-11-04 09:47:48.548205,21 a 30,1,Média-Baixa
54,SC,25,Segundo Grau Completo,Casado,0,0.0,1,220000.0,False,0.0,18,0.0,2200.0,2,30000.0,23,2025-11-04 09:47:35.324676,DADOS_CREDITO.XLSX,2200.0,2025-11-04 09:47:48.548205,21 a 30,0,Baixa
55,PR,27,Superior Cursando,Casado,1,0.0,0,0.0,False,0.0,22,0.0,3900.0,0,0.0,28,2025-11-04 09:47:35.324676,DADOS_CREDITO.XLSX,3900.0,2025-11-04 09:47:48.548205,21 a 30,1,Média-Baixa
56,RJ,28,Superior Completo,Divorciado,2,0.0,1,370000.0,False,0.0,30,0.0,11500.0,1,35000.0,34,2025-11-04 09:47:35.324676,DADOS_CREDITO.XLSX,11500.0,2025-11-04 09:47:48.548205,21 a 30,1,Média-Alta
57,SP,30,Segundo Grau Completo,Divorciado,0,0.0,0,0.0,False,0.0,14,0.0,3100.0,2,40000.0,39,2025-11-04 09:47:35.324676,DADOS_CREDITO.XLSX,3100.0,2025-11-04 09:47:48.548205,21 a 30,0,Média-Baixa
58,MG,32,Superior Cursando,Solteiro,1,0.0,1,185000.0,True,3000.0,19,0.0,6800.0,0,0.0,45,2025-11-04 09:47:35.324676,DADOS_CREDITO.XLSX,9800.0,2025-11-04 09:47:48.548205,31 a 45,1,Média
59,SC,35,Superior Completo,Solteiro,1,0.0,2,450000.0,True,2400.0,25,0.0,22000.0,1,150000.0,50,2025-11-04 09:47:35.324676,DADOS_CREDITO.XLSX,24400.0,2025-11-04 09:47:48.548205,31 a 45,1,Alta
60,PR,42,Segundo Grau Completo,Casado,0,0.0,0,0.0,False,0.0,48,0.0,4500.0,2,28000.0,56,2025-11-04 09:47:35.324676,DADOS_CREDITO.XLSX,4500.0,2025-11-04 09:47:48.548205,31 a 45,0,Média-Baixa
61,RJ,45,Superior Cursando,Casado,0,0.0,0,0.0,False,0.0,120,0.0,9800.0,0,0.0,61,2025-11-04 09:47:35.324676,DADOS_CREDITO.XLSX,9800.0,2025-11-04 09:47:48.548205,31 a 45,0,Média
62,SP,48,Superior Completo,Divorciado,2,0.0,2,600000.0,False,0.0,15,0.0,15000.0,1,70000.0,67,2025-11-04 09:47:35.324676,DADOS_CREDITO.XLSX,15000.0,2025-11-04 09:47:48.548205,46 a 55,1,Média-Alta
63,MG,51,Segundo Grau Completo,Divorciado,1,0.0,0,0.0,False,0.0,80,0.0,6100.0,2,48000.0,72,2025-11-04 09:47:35.324676,DADOS_CREDITO.XLSX,6100.0,2025-11-04 09:47:48.548205,46 a 55,1,Média
64,SC,53,Superior Cursando,Casado,2,0.0,1,280000.0,False,0.0,12,0.0,9000.0,0,0.0,78,2025-11-04 09:47:35.324676,DADOS_CREDITO.XLSX,9000.0,2025-11-04 09:47:48.548205,46 a 55,1,Média
65,PR,55,Superior Completo,Casado,2,0.0,3,700000.0,False,0.0,75,0.0,17500.0,1,50000.0,83,2025-11-04 09:47:35.324676,DADOS_CREDITO.XLSX,17500.0,2025-11-04 09:47:48.548205,46 a 55,1,Média-Alta
66,RJ,57,Segundo Grau Completo,Casado,3,0.0,1,340000.0,True,4000.0,90,0.0,13000.0,2,180000.0,89,2025-11-04 09:47:35.324676,DADOS_CREDITO.XLSX,17000.0,2025-11-04 09:47:48.548205,Maior que 55,1,Média-Alta
67,SP,62,Superior Cursando,Casado,3,0.0,1,450000.0,True,3200.0,93,0.0,5300.0,0,0.0,94,2025-11-04 09:47:35.324676,DADOS_CREDITO.XLSX,8500.0,2025-11-04 09:47:48.548205,Maior que 55,1,Média
68,RJ,65,Superior Completo,Viuvo,1,0.0,3,900000.0,False,0.0,150,0.0,18300.0,1,80000.0,98,2025-11-04 09:47:35.324676,DADOS_CREDITO.XLSX,18300.0,2025-11-04 09:47:48.548205,Maior que 55,1,Média-Alta
69,SP,19,Superior Cursando,Solteiro,0,0.0,0,0.0,False,0.0,8,0.0,1800.0,0,0.0,12,2025-11-04 09:47:35.324676,DADOS_CREDITO.XLSX,1800.0,2025-11-04 09:47:48.548205,Até 20,0,Baixa
70,MG,23,Superior Completo,Solteiro,1,0.0,0,0.0,False,0.0,9,0.0,4800.0,1,50000.0,18,2025-11-04 09:47:35.324676,DADOS_CREDITO.XLSX,4800.0,2025-11-04 09:47:48.548205,21 a 30,1,Média-Baixa
71,SC,25,Segundo Grau Completo,Casado,0,0.0,1,220000.0,False,0.0,18,0.0,2200.0,2,30000.0,23,2025-11-04 09:47:35.324676,DADOS_CREDITO.XLSX,2200.0,2025-11-04 09:47:48.548205,21 a 30,0,Baixa
72,PR,27,Superior Cursando,Casado,1,0.0,0,0.0,False,0.0,22,0.0,3900.0,0,0.0,28,2025-11-04 09:47:35.324676,DADOS_CREDITO.XLSX,3900.0,2025-11-04 09:47:48.548205,21 a 30,1,Média-Baixa
73,RJ,28,Superior Completo,Divorciado,2,0.0,1,370000.0,False,0.0,30,0.0,11500.0,1,35000.0,34,2025-11-04 09:47:35.324676,DADOS_CREDITO.XLSX,11500.0,2025-11-04 09:47:48.548205,21 a 30,1,Média-Alta
74,SP,30,Segundo Grau Completo,Divorciado,0,0.0,0,0.0,False,0.0,14,0.0,3100.0,2,40000.0,39,2025-11-04 09:47:35.324676,DADOS_CREDITO.XLSX,3100.0,2025-11-04 09:47:48.548205,21 a 30,0,Média-Baixa
75,MG,32,Superior Cursando,Solteiro,1,0.0,1,185000.0,True,3000.0,19,0.0,6800.0,0,0.0,45,2025-11-04 09:47:35.324676,DADOS_CREDITO.XLSX,9800.0,2025-11-04 09:47:48.548205,31 a 45,1,Média
76,SC,35,Superior Completo,Solteiro,1,0.0,2,450000.0,True,2400.0,25,0.0,22000.0,1,150000.0,50,2025-11-04 09:47:35.324676,DADOS_CREDITO.XLSX,24400.0,2025-11-04 09:47:48.548205,31 a 45,1,Alta
77,PR,42,Segundo Grau Completo,Casado,0,0.0,0,0.0,False,0.0,48,0.0,4500.0,2,28000.0,56,2025-11-04 09:47:35.324676,DADOS_CREDITO.XLSX,4500.0,2025-11-04 09:47:48.548205,31 a 45,0,Média-Baixa
78,RJ,45,Superior Cursando,Casado,0,0.0,0,0.0,False,0.0,120,0.0,9800.0,0,0.0,61,2025-11-04 09:47:35.324676,DADOS_CREDITO.XLSX,9800.0,2025-11-04 09:47:48.548205,31 a 45,0,Média
79,SP,48,Superior Completo,Divorciado,2,0.0,2,600000.0,False,0.0,15,0.0,15000.0,1,70000.0,67,2025-11-04 09:47:35.324676,DADOS_CREDITO.XLSX,15000.0,2025-11-04 09:47:48.548205,46 a 55,1,Média-Alta
80,MG,51,Segundo Grau Completo,Divorciado,1,0.0,0,0.0,False,0.0,80,0.0,6100.0,2,48000.0,72,2025-11-04 09:47:35.324676,DADOS_CREDITO.XLSX,6100.0,2025-11-04 09:47:48.548205,46 a 55,1,Média
81,SC,53,Superior Cursando,Casado,2,0.0,1,280000.0,False,0.0,12,0.0,9000.0,0,0.0,78,2025-11-04 09:47:35.324676,DADOS_CREDITO.XLSX,9000.0,2025-11-04 09:47:48.548205,46 a 55,1,Média
82,PR,55,Superior Completo,Casado,2,0.0,3,700000.0,False,0.0,75,0.0,17500.0,1,50000.0,83,2025-11-04 09:47:35.324676,DADOS_CREDITO.XLSX,17500.0,2025-11-04 09:47:48.548205,46 a 55,1,Média-Alta
83,RJ,57,Segundo Grau Completo,Casado,3,0.0,1,340000.0,True,4000.0,90,0.0,13000.0,2,180000.0,89,2025-11-04 09:47:35.324676,DADOS_CREDITO.XLSX,17000.0,2025-11-04 09:47:48.548205,Maior que 55,1,Média-Alta
84,SP,62,Superior Cursando,Casado,3,0.0,1,450000.0,True,3200.0,93,0.0,5300.0,0,0.0,94,2025-11-04 09:47:35.324676,DADOS_CREDITO.XLSX,8500.0,2025-11-04 09:47:48.548205,Maior que 55,1,Média
85,RJ,65,Superior Completo,Viuvo,1,0.0,3,900000.0,False,0.0,150,0.0,18300.0,1,80000.0,98,2025-11-04 09:47:35.324676,DADOS_CREDITO.XLSX,18300.0,2025-11-04 09:47:48.548205,Maior que 55,1,Média-Alta
86,SP,19,Superior Cursando,Solteiro,0,0.0,0,0.0,False,0.0,8,0.0,1800.0,0,0.0,12,2025-11-04 09:47:35.324676,DADOS_CREDITO.XLSX,1800.0,2025-11-04 09:47:48.548205,Até 20,0,Baixa
87,MG,23,Superior Completo,Solteiro,1,0.0,0,0.0,False,0.0,9,0.0,4800.0,1,50000.0,18,2025-11-04 09:47:35.324676,DADOS_CREDITO.XLSX,4800.0,2025-11-04 09:47:48.548205,21 a 30,1,Média-Baixa
88,SC,25,Segundo Grau Completo,Casado,0,0.0,1,220000.0,False,0.0,18,0.0,2200.0,2,30000.0,23,2025-11-04 09:47:35.324676,DADOS_CREDITO.XLSX,2200.0,2025-11-04 09:47:48.548205,21 a 30,0,Baixa
89,PR,27,Superior Cursando,Casado,1,0.0,0,0.0,False,0.0,22,0.0,3900.0,0,0.0,28,2025-11-04 09:47:35.324676,DADOS_CREDITO.XLSX,3900.0,2025-11-04 09:47:48.548205,21 a 30,1,Média-Baixa
90,RJ,28,Superior Completo,Divorciado,2,0.0,1,370000.0,False,0.0,30,0.0,11500.0,1,35000.0,34,2025-11-04 09:47:35.324676,DADOS_CREDITO.XLSX,11500.0,2025-11-04 09:47:48.548205,21 a 30,1,Média-Alta
91,SP,30,Segundo Grau Completo,Divorciado,0,0.0,0,0.0,False,0.0,14,0.0,3100.0,2,40000.0,39,2025-11-04 09:47:35.324676,DADOS_CREDITO.XLSX,3100.0,2025-11-04 09:47:48.548205,21 a 30,0,Média-Baixa
92,MG,32,Superior Cursando,Solteiro,1,0.0,1,185000.0,True,3000.0,19,0.0,6800.0,0,0.0,45,2025-11-04 09:47:35.324676,DADOS_CREDITO.XLSX,9800.0,2025-11-04 09:47:48.548205,31 a 45,1,Média
93,SC,35,Superior Completo,Solteiro,1,0.0,2,450000.0,True,2400.0,25,0.0,22000.0,1,150000.0,50,2025-11-04 09:47:35.324676,DADOS_CREDITO.XLSX,24400.0,2025-11-04 09:47:48.548205,31 a 45,1,Alta
94,PR,42,Segundo Grau Completo,Casado,0,0.0,0,0.0,False,0.0,48,0.0,4500.0,2,28000.0,56,2025-11-04 09:47:35.324676,DADOS_CREDITO.XLSX,4500.0,2025-11-04 09:47:48.548205,31 a 45,0,Média-Baixa
95,RJ,45,Superior Cursando,Casado,0,0.0,0,0.0,False,0.0,120,0.0,9800.0,0,0.0,61,2025-11-04 09:47:35.324676,DADOS_CREDITO.XLSX,9800.0,2025-11-04 09:47:48.548205,31 a 45,0,Média
96,SP,48,Superior Completo,Divorciado,2,0.0,2,600000.0,False,0.0,15,0.0,15000.0,1,70000.0,67,2025-11-04 09:47:35.324676,DADOS_CREDITO.XLSX,15000.0,2025-11-04 09:47:48.548205,46 a 55,1,Média-Alta
97,MG,51,Segundo Grau Completo,Divorciado,1,0.0,0,0.0,False,0.0,80,0.0,6100.0,2,48000.0,72,2025-11-04 09:47:35.324676,DADOS_CREDITO.XLSX,6100.0,2025-11-04 09:47:48.548205,46 a 55,1,Média
98,SC,53,Superior Cursando,Casado,2,0.0,1,280000.0,False,0.0,12,0.0,9000.0,0,0.0,78,2025-11-04 09:47:35.324676,DADOS_CREDITO.XLSX,9000.0,2025-11-04 09:47:48.548205,46 a 55,1,Média
99,PR,55,Superior Completo,Casado,2,0.0,3,700000.0,False,0.0,75,0.0,17500.0,1,50000.0,83,2025-11-04 09:47:35.324676,DADOS_CREDITO.XLSX,17500.0,2025-11-04 09:47:48.548205,46 a 55,1,Média-Alta
100,RJ,57,Segundo Grau Completo,Casado,3,0.0,1,340000.0,True,4000.0,90,0.0,13000.0,2,180000.0,89,2025-11-04 09:47:35.324676,DADOS_CREDITO.XLSX,17000.0,2025-11-04 09:47:48.548205,Maior que 55,1,Média-Alta
101,SP,62,Superior Cursando,Casado,3,0.0,1,450000.0,True,3200.0,93,0.0,5300.0,0,0.0,94,2025-11-04 09:47:35.324676,DADOS_CREDITO.XLSX,8500.0,2025-11-04 09:47:48.548205,Maior que 55,1,Média
102,RJ,65,Superior Completo,Viuvo,1,0.0,3,900000.0,False,0.0,150,0.0,18300.0,1,80000.0,98,2025-11-04 09:47:35.324676,DADOS_CREDITO.XLSX,18300.0,2025-11-04 09:47:48.548205,Maior que 55,1,Média-Alta
103,SP,19,Superior Cursando,Solteiro,0,0.0,0,0.0,False,0.0,8,0.0,1800.0,0,0.0,12,2025-11-04 09:47:35.324676,DADOS_CREDITO.XLSX,1800.0,2025-11-04 09:47:48.548205,Até 20,0,Baixa
104,MG,23,Superior Completo,Solteiro,1,0.0,0,0.0,False,0.0,9,0.0,4800.0,1,50000.0,18,2025-11-04 09:47:35.324676,DADOS_CREDITO.XLSX,4800.0,2025-11-04 09:47:48.548205,21 a 30,1,Média-Baixa
105,SC,25,Segundo Grau Completo,Casado,0,0.0,1,220000.0,False,0.0,18,0.0,2200.0,2,30000.0,23,2025-11-04 09:47:35.324676,DADOS_CREDITO.XLSX,2200.0,2025-11-04 09:47:48.548205,21 a 30,0,Baixa
106,PR,27,Superior Cursando,Casado,1,0.0,0,0.0,False,0.0,22,0.0,3900.0,0,0.0,28,2025-11-04 09:47:35.324676,DADOS_CREDITO.XLSX,3900.0,2025-11-04 09:47:48.548205,21 a 30,1,Média-Baixa
